,Player,Prediction,Actual
7,LaMarcus Aldridge,True,True
17,Giannis Antetokounmpo,True,True
39,Bradley Beal,True,True
123,Stephen Curry,True,True
125,Anthony Davis,True,True
149,Kevin Durant,True,True
154,Joel Embiid,True,True
182,Paul George,True,True
201,Blake Griffin,True,True
205,James Harden,True,True
248,Kyrie Irving,True,True
257,LeBron James,True,True
268,Nikola Jokic,True,True
300,Kawhi Leonard,True,True
304,Damian Lillard,True,True
312,Kyle Lowry,False,True
345,Khris Middleton,True,True
432,D'Angelo Russell,True,True
447,Ben Simmons,False,True
475,Klay Thompson,False,True
479,Karl-Anthony Towns,True,True
491,Nikola Vucevic,True,True
495,Kemba Walker,True,True
505,Russell Westbrook,True,True
