,Player,Prediction,Actual
7,LaMarcus Aldridge,True,True
17,Giannis Antetokounmpo,True,True
39,Bradley Beal,True,True
60,Devin Booker,True,False
111,Mike Conley,True,False
123,Stephen Curry,True,True
125,Anthony Davis,True,True
134,DeMar DeRozan,True,False
141,Luka Doncic,True,False
146,Andre Drummond,True,False
149,Kevin Durant,True,True
154,Joel Embiid,True,True
182,Paul George,True,True
201,Blake Griffin,True,True
205,James Harden,True,True
248,Kyrie Irving,True,True
257,LeBron James,True,True
268,Nikola Jokic,True,True
293,Zach LaVine,True,False
300,Kawhi Leonard,True,True
304,Damian Lillard,True,True
333,CJ McCollum,True,False
345,Khris Middleton,True,True
353,Donovan Mitchell,True,False
432,D'Angelo Russell,True,True
445,Pascal Siakam,True,False
479,Karl-Anthony Towns,True,True
491,Nikola Vucevic,True,True
495,Kemba Walker,True,True
505,Russell Westbrook,True,True
